               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091917,            0.022181,            0.028487,            0.013246,              0.9902,             0.15498,             0.03239,            0.049152,            0.015998,            0.025181,            0.070811,           0.0032432,           0.0032432
                   1,            0.062239,            0.022241,            0.025988,             0.46028,              0.9015,             0.61437,             0.35817,            0.042664,            0.013351,            0.022941,            0.040778,            0.006544,            0.006544
                   2,            0.058447,            0.018524,             0.02581,             0.28236,             0.79933,             0.50157,             0.27958,            0.056222,            0.010375,            0.023122,            0.010713,           0.0098118,           0.0098118
                   3,            0.051669,            0.018891,            0.025308,              0.4825,             0.98039,             0.66197,             0.29242,             0.04268,           0.0088157,            0.024182,           0.0098515,           0.0098515,           0.0098515
                   4,            0.044968,             0.01536,             0.02469,              0.3816,             0.98039,             0.67296,             0.39225,               0.039,           0.0081534,            0.021325,           0.0098515,           0.0098515,           0.0098515
                   5,            0.041014,            0.012738,             0.02431,             0.56309,             0.88913,             0.80023,             0.52512,            0.036048,           0.0063317,            0.020761,            0.009802,            0.009802,            0.009802
                   6,            0.039194,            0.011242,            0.022693,             0.96467,             0.80444,             0.97476,             0.60497,            0.026858,           0.0060021,            0.017858,           0.0097525,           0.0097525,           0.0097525
                   7,            0.034247,            0.010118,            0.019994,             0.58693,             0.89277,             0.86502,             0.61114,            0.027958,           0.0055193,            0.024525,            0.009703,            0.009703,            0.009703
                   8,            0.034878,           0.0097901,            0.016977,             0.98253,             0.98485,             0.99456,             0.61786,            0.025764,           0.0052517,           0.0068213,           0.0096535,           0.0096535,           0.0096535
                   9,            0.032399,           0.0096105,            0.014201,             0.98084,             0.99414,              0.9949,             0.76489,            0.021958,           0.0050652,           0.0044734,            0.009604,            0.009604,            0.009604
                  10,            0.030621,           0.0092899,            0.012781,              0.8768,             0.92274,             0.90822,             0.66372,             0.03098,           0.0048529,           0.0084957,           0.0095545,           0.0095545,           0.0095545
                  11,            0.029669,           0.0089518,            0.011541,             0.89408,              0.9332,             0.99203,             0.77614,            0.017176,           0.0043808,           0.0061786,            0.009505,            0.009505,            0.009505
                  12,            0.029502,           0.0087478,            0.010519,             0.99626,             0.84407,              0.9949,             0.53003,            0.037676,           0.0050085,           0.0063608,           0.0094555,           0.0094555,           0.0094555
                  13,            0.027969,           0.0089079,            0.010989,             0.86222,                   1,               0.995,             0.75929,            0.015876,           0.0043009,           0.0092297,            0.009406,            0.009406,            0.009406
                  14,            0.028685,           0.0089027,           0.0089075,             0.99385,                   1,               0.995,             0.72748,            0.022872,           0.0044838,           0.0019805,           0.0093565,           0.0093565,           0.0093565
                  15,             0.02772,           0.0086556,           0.0078514,             0.90039,             0.93146,             0.97345,             0.73561,             0.01931,           0.0043803,            0.010714,            0.009307,            0.009307,            0.009307
                  16,            0.026299,            0.008326,           0.0076761,              0.9681,             0.91462,               0.995,             0.65224,            0.025389,           0.0044927,           0.0039433,           0.0092575,           0.0092575,           0.0092575
                  17,            0.025923,           0.0083486,           0.0081961,              0.9883,             0.97214,               0.995,             0.77139,            0.021511,            0.004163,           0.0022729,            0.009208,            0.009208,            0.009208
                  18,            0.026163,           0.0084722,           0.0076013,             0.87179,             0.98485,             0.98091,             0.76687,            0.021974,           0.0043006,           0.0071612,           0.0091585,           0.0091585,           0.0091585
                  19,             0.02599,           0.0085655,           0.0061497,               0.996,                   1,               0.995,             0.77866,            0.016273,           0.0043506,           0.0010797,            0.009109,            0.009109,            0.009109
                  20,            0.024198,           0.0084003,           0.0077278,             0.98054,               0.942,               0.995,             0.68161,            0.024185,           0.0042853,           0.0035678,           0.0090595,           0.0090595,           0.0090595
                  21,            0.025858,           0.0080234,           0.0063138,             0.99491,                   1,               0.995,             0.76715,            0.016412,           0.0042529,           0.0021162,             0.00901,             0.00901,             0.00901
                  22,            0.024607,             0.00805,           0.0068515,             0.92472,             0.95277,             0.97679,             0.70102,            0.025738,            0.004386,           0.0041567,           0.0089605,           0.0089605,           0.0089605
                  23,            0.025081,           0.0079739,           0.0059688,             0.99619,                   1,               0.995,             0.81792,            0.014215,           0.0039891,           0.0013413,            0.008911,            0.008911,            0.008911
                  24,            0.025285,           0.0078872,           0.0051773,              0.9871,             0.98609,               0.995,             0.74816,            0.023739,           0.0045055,           0.0024909,           0.0088615,           0.0088615,           0.0088615
                  25,            0.024428,            0.008081,           0.0060496,              0.9976,                   1,               0.995,                0.73,            0.020369,           0.0040564,           0.0013089,            0.008812,            0.008812,            0.008812
                  26,            0.023461,           0.0083269,           0.0060676,             0.99142,             0.98054,               0.995,             0.76655,            0.022318,           0.0040368,            0.001601,           0.0087625,           0.0087625,           0.0087625
                  27,            0.023526,           0.0076849,           0.0054915,             0.99288,                   1,               0.995,             0.81548,            0.013929,           0.0039143,           0.0020622,            0.008713,            0.008713,            0.008713
                  28,            0.022626,           0.0077362,           0.0054694,             0.80404,             0.97903,             0.99005,             0.81273,            0.014138,           0.0038199,           0.0098367,           0.0086635,           0.0086635,           0.0086635
                  29,            0.023585,             0.00773,           0.0052155,             0.99757,                   1,               0.995,             0.80006,            0.014817,           0.0039259,          0.00085085,            0.008614,            0.008614,            0.008614
                  30,            0.023191,           0.0074513,           0.0054382,             0.81245,             0.98039,             0.86028,              0.6567,            0.020022,           0.0039839,            0.012232,           0.0085645,           0.0085645,           0.0085645
                  31,             0.02249,           0.0081607,           0.0049886,             0.99747,                   1,               0.995,             0.76385,            0.021772,            0.004042,           0.0016462,            0.008515,            0.008515,            0.008515
                  32,             0.02194,           0.0077824,           0.0060505,             0.99689,                   1,               0.995,             0.78311,            0.017602,           0.0038044,           0.0011071,           0.0084655,           0.0084655,           0.0084655
                  33,            0.022157,           0.0077306,           0.0051263,             0.99795,                   1,               0.995,             0.75097,            0.020693,           0.0038175,          0.00090653,            0.008416,            0.008416,            0.008416
